job_title,company,location,info,posted,datetime,job_link,comp_link
Risk Data Analyst,Michael Page,"New York, United States",Actively Hiring,2 weeks ago,2023-08-23,https://www.linkedin.com/jobs/view/risk-data-analyst-at-michael-page-3693529662?refId=CxKwSQgwPPuWr2oUoaHJqA%3D%3D&trackingId=2D9GADJHiXK8Q2fFK1IPSg%3D%3D&position=25&pageNum=13&trk=public_jobs_jserp-result_search-card,https://uk.linkedin.com/company/michael-page?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst II,Consolidated Analytics,United States,0,2 weeks ago,2023-08-24,https://www.linkedin.com/jobs/view/data-analyst-ii-at-consolidated-analytics-3699459119?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=f%2BQR%2BydIW2Mz3D%2BfAZD37w%3D%3D&position=1&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/consolidated-analytics?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Orange County's Credit Union,"Santa Ana, CA",0,1 week ago,2023-08-28,https://www.linkedin.com/jobs/view/data-analyst-at-orange-county-s-credit-union-3702357928?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=ILw63k0EYh2LNNSIaGQFgQ%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/orange-county%27s-credit-union?trk=public_jobs_jserp-result_job-search-card-subtitle
Business Data Analyst II,DHL Supply Chain,"Westerville, OH",Actively Hiring,6 days ago,2023-09-02,https://www.linkedin.com/jobs/view/business-data-analyst-ii-at-dhl-supply-chain-3706133157?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=w232yxt%2Bk9jhwOzeKEW9OQ%3D%3D&position=3&pageNum=14&trk=public_jobs_jserp-result_search-card,https://de.linkedin.com/company/dhl-supply-chain?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst III,MindSource,"Cupertino, CA",Actively Hiring,1 month ago,2023-07-21,https://www.linkedin.com/jobs/view/data-analyst-iii-at-mindsource-3670060898?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=Xh9ZdEI9w8UhPki7MlFB1g%3D%3D&position=4&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/mindsource?trk=public_jobs_jserp-result_job-search-card-subtitle
"Data Quality Analyst (Marketing Data, Salesforce, MarTech, AdTech)",Steneral Consulting,United States,Actively Hiring,2 weeks ago,2023-08-22,https://www.linkedin.com/jobs/view/data-quality-analyst-marketing-data-salesforce-martech-adtech-at-steneral-consulting-3697301588?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=Li5Vr5sYm66G5vSCu6hNUQ%3D%3D&position=5&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/steneral-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle
DATA RESEARCH ANALYST,NYC Department of Social Services,"Brooklyn, NY",Actively Hiring,6 days ago,2023-09-01,https://www.linkedin.com/jobs/view/data-research-analyst-at-nyc-department-of-social-services-3710179190?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=M5NEw3aNChp50R5fcuSe7Q%3D%3D&position=6&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/nyc-department-of-social-services?trk=public_jobs_jserp-result_job-search-card-subtitle
Risk Data Analyst,Michael Page,"New York, United States",Actively Hiring,2 weeks ago,2023-08-23,https://www.linkedin.com/jobs/view/risk-data-analyst-at-michael-page-3693529662?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=rhUUC8eogQooUQ48DAVTvg%3D%3D&position=7&pageNum=14&trk=public_jobs_jserp-result_search-card,https://uk.linkedin.com/company/michael-page?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analytics Associate,The Village Bank,"Newton, MA","Medical insurance
           +8 benefits",1 week ago,2023-08-30,https://www.linkedin.com/jobs/view/data-analytics-associate-at-the-village-bank-3708436752?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=GXhmZATMGx3e4z8DaZSFHA%3D%3D&position=8&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/the-village-bank?trk=public_jobs_jserp-result_job-search-card-subtitle
Healthcare Data Analyst,Advanced Radiology Consultants,"Shelton, CT",Be an early applicant,1 day ago,2023-09-07,https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-advanced-radiology-consultants-3712350717?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=7KT6I9l7SyYPUC6lZYnRQQ%3D%3D&position=9&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/advanced-radiology-consultants?trk=public_jobs_jserp-result_job-search-card-subtitle
Sr. Data Analyst,orangepeople,"Celebration, FL",Be an early applicant,6 days ago,2023-09-01,https://www.linkedin.com/jobs/view/sr-data-analyst-at-orangepeople-3712348788?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=2lyWvEMwSJYZYDcgdzTizA%3D%3D&position=10&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/orangepeople?trk=public_jobs_jserp-result_job-search-card-subtitle
Data Analyst,Peoplelink Group,"South Bend, IN","Actively Hiring
           +4 benefits",6 days ago,2023-09-01,https://www.linkedin.com/jobs/view/data-analyst-at-peoplelink-group-3710134212?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=T9isNmAAHmNSTk780IF8ng%3D%3D&position=11&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/peoplelink-group?trk=public_jobs_jserp-result_job-search-card-subtitle
Healthcare Data Analyst,Lifespark,"St Louis Park, MN",0,3 weeks ago,2023-08-17,https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-lifespark-3697432645?refId=ZjOi2Gn9RiGJLDDD2v0xyg%3D%3D&trackingId=Pfn8UFNmbSjfhRmcodpl9g%3D%3D&position=12&pageNum=14&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/lifesparkbeyou?trk=public_jobs_jserp-result_job-search-card-subtitle
